row_id,slug,list_source,category,common_name_zh,common_name_en,scientific_name,extinction_summary,region,sensory_reconstruction_score,music_layering_score,data_availability,model_3d_ref,extinction_drivers,notes,pharm_human_hook,verification_note
2,mammuthus-primigenius,unified_priority_csv,Pleistocene Megafauna,猛犸象,Woolly Mammoth,Mammuthus primigenius,"~4,000年前",欧亚、北美,10,9,High,"Sketchfab ""Woolly Mammoth""",人类狩猎+气候变化,冻尸DNA丰富、耳结构/吼声/心率完美适合音乐层,,Cross-check extinction date/category on IUCN Red List where applicable.
3,mammuthus-columbi,unified_priority_csv,Pleistocene Megafauna,哥伦比亚猛犸象,Columbian Mammoth,Mammuthus columbi,"~10,000年前",北美,9,8,High,"Sketchfab ""Columbian Mammoth""",人类+气候,骨骼/迁徙路径数据,,Cross-check extinction date/category on IUCN Red List where applicable.
4,mammut-americanum,unified_priority_csv,Pleistocene Megafauna,美洲乳齿象,American Mastodon,Mammut americanum,"~10,000年前",北美,9,8,High,"Sketchfab ""Mastodon""",森林丧失+狩猎,牙齿化石推断饮食/声音,,Cross-check extinction date/category on IUCN Red List where applicable.
5,smilodon-fatalis,unified_priority_csv,Pleistocene Megafauna,剑齿虎,Saber-toothed Cat,Smilodon fatalis,"~10,000年前",美洲,9,9,High,"Sketchfab ""Smilodon""",猎物减少+人类竞争,咬合力强，吼声模拟潜力极高,,Cross-check extinction date/category on IUCN Red List where applicable.
6,megatherium-americanum,unified_priority_csv,Pleistocene Megafauna,巨型地懒,Giant Ground Sloth,Megatherium americanum,"~10,000年前",南美,8,7,High,"Sketchfab ""Megatherium""",人类狩猎+气候,步态节奏适合低频音乐层,,Cross-check extinction date/category on IUCN Red List where applicable.
7,coelodonta-antiquitatis,unified_priority_csv,Pleistocene Megafauna,羊毛犀,Woolly Rhinoceros,Coelodonta antiquitatis,"~14,000年前",欧亚,9,8,High,"Sketchfab ""Woolly Rhino""",气候变暖+人类,毛发/皮肤化石，气味重建,,Cross-check extinction date/category on IUCN Red List where applicable.
8,aenocyon-dirus,unified_priority_csv,Pleistocene Megafauna,恐狼,Dire Wolf,Aenocyon dirus,"~10,000年前",北美,8,9,High,"Sketchfab ""Dire Wolf""",猎物减少+竞争,群体狩猎声音层叠潜力高,,Cross-check extinction date/category on IUCN Red List where applicable.
9,megaloceros-giganteus,unified_priority_csv,Pleistocene Megafauna,爱尔兰麋鹿,Irish Elk,Megaloceros giganteus,"~7,700年前",欧亚,8,7,High,Natural History Museum Dublin,气候+营养压力,巨大鹿角，视觉/声音重建,,Cross-check extinction date/category on IUCN Red List where applicable.
10,ursus-spelaeus,unified_priority_csv,Pleistocene Megafauna,洞熊,Cave Bear,Ursus spelaeus,"~24,000年前",欧洲,8,8,High,"Sketchfab ""Cave Bear""",人类竞争+气候,洞穴化石，冬眠节奏音乐,,Cross-check extinction date/category on IUCN Red List where applicable.
11,glyptodon-spp,unified_priority_csv,Pleistocene Megafauna,巨型犰狳,Glyptodon,Glyptodon spp.,"~10,000年前",南美,7,6,High,"Sketchfab ""Glyptodon""",人类狩猎+气候,装甲壳，触觉/视觉强,,Cross-check extinction date/category on IUCN Red List where applicable.
12,thylacinus-cynocephalus,unified_priority_csv,Mammals,袋狼,Thylacine,Thylacinus cynocephalus,1936,澳大利亚/塔斯马尼亚,10,10,High,"Sketchfab ""Thylacine""",狩猎+栖息地+疾病,项目提及，最后一只录音存在,,Cross-check extinction date/category on IUCN Red List where applicable.
13,hydrodamalis-gigas,unified_priority_csv,Mammals,斯特勒海牛,Steller's Sea Cow,Hydrodamalis gigas,1768,白令海,8,7,Medium,"Sketchfab ""Steller's Sea Cow""",过度狩猎,海洋低频声音,,Cross-check extinction date/category on IUCN Red List where applicable.
14,melomys-rubicola,unified_priority_csv,Mammals,布兰布尔凯鼠,Bramble Cay Melomys,Melomys rubicola,2016,澳大利亚,7,6,Medium,"Sketchfab ""Melomys""",气候+海平面,首个气候变化哺乳动物记录,,Cross-check extinction date/category on IUCN Red List where applicable.
15,crocidura-trichura,unified_priority_csv,Mammals,圣诞岛鼩,Christmas Island Shrew,Crocidura trichura,1985（2025确认）,圣诞岛,6,5,Medium,"Sketchfab ""Shrew""",入侵+疾病（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
16,potorous-platyops,unified_priority_csv,Mammals,宽脸袋鼠,Broad-faced Potoroo,Potorous platyops,1875,澳大利亚,7,6,Medium,"Sketchfab ""Potoroo""",狐狸+栖息地破坏,-,,Cross-check extinction date/category on IUCN Red List where applicable.
17,perameles-papillon,unified_priority_csv,Mammals,,Nullarbor Barred Bandicoot,Perameles papillon,~1920s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",栖息地+捕食（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
18,perameles-myosuros,unified_priority_csv,Mammals,,Southern Long-nosed Bandicoot,Perameles myosuros,19世纪晚期（2025确认）,澳大利亚东南,6,5,Medium,"Sketchfab ""Bandicoot""",捕食+栖息地（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
19,perameles-notina,unified_priority_csv,Mammals,,Southeastern Striped Bandicoot,Perameles notina,19-20世纪（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵捕食者（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
20,chaeropus-ecaudatus,unified_priority_csv,Mammals,,Southern Pig-footed Bandicoot,Chaeropus ecaudatus,~1950s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵+火 regime变化（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
21,chaeropus-yirratji,unified_priority_csv,Mammals,,Northern Pig-footed Bandicoot,Chaeropus yirratji,~1930s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵+栖息地（2025新增）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
22,zalophus-japonicus,unified_priority_csv,Mammals,,Japanese Sea Lion,Zalophus japonicus,1950s,日本海,7,7,Medium,"Sketchfab ""Sea Lion""",狩猎+渔业冲突,-,,Cross-check extinction date/category on IUCN Red List where applicable.
23,diceros-bicornis-longipes,unified_priority_csv,Mammals,,Western Black Rhinoceros,Diceros bicornis longipes,2011,西非,8,6,High,"Sketchfab ""Black Rhino""",偷猎,角贸易导致,,Cross-check extinction date/category on IUCN Red List where applicable.
24,dusicyon-australis,unified_priority_csv,Mammals,,Falkland Islands Wolf,Dusicyon australis,1876,福克兰群岛,7,6,Medium,"Sketchfab ""Falkland Wolf""",人类+犬类疾病,-,,Cross-check extinction date/category on IUCN Red List where applicable.
25,raphus-cucullatus,unified_priority_csv,Birds,渡渡鸟,Dodo,Raphus cucullatus,17世纪晚期,毛里求斯,9,8,High,"Sketchfab ""Dodo""",狩猎+入侵,AR经典案例,,Cross-check extinction date/category on IUCN Red List where applicable.
26,ectopistes-migratorius,unified_priority_csv,Birds,旅鸽,Passenger Pigeon,Ectopistes migratorius,1914,北美,10,10,High,"Sketchfab ""Passenger Pigeon""",过度狩猎+栖息地,群体迁徙声音层叠极高,,Cross-check extinction date/category on IUCN Red List where applicable.
27,numenius-tenuirostris,unified_priority_csv,Birds,细嘴杓鹬,Slender-billed Curlew,Numenius tenuirostris,1995（2025确认）,西伯利亚/欧洲/非洲,8,9,High,"Sketchfab ""Curlew""",栖息地+狩猎（2025新增）,迁徙叫声录音,,Cross-check extinction date/category on IUCN Red List where applicable.
28,psittirostra-psittacea,unified_priority_csv,Birds,ʻŌʻū,Ou,Psittirostra psittacea,2024,夏威夷,8,8,Medium,"Sketchfab ""Honeycreeper""",疾病+栖息地（2024确认）,-,,Cross-check extinction date/category on IUCN Red List where applicable.
