scientific_name,common_name,common_name_zh,category,extinction_year,extinction_period_raw,extinction_location,description,image_url,pharm_related,pharm_notes,human_intervention_summary,main_causes,wikipedia_url,sensory_reconstruction_score,music_layering_score,data_availability,model_3d_reference,internal_notes
Mammuthus primigenius,Woolly Mammoth,猛犸象,Pleistocene Megafauna,-4000,"~4,000年前",欧亚、北美,[Pleistocene Megafauna] Woolly Mammoth (Mammuthus primigenius). Historic range: 欧亚、北美. 冻尸DNA丰富、耳结构/吼声/心率完美适合音乐层,,false,No historic pharmaceutical use. De-extinction and aDNA research may yield insights into cold-adaptation proteins and comparative immunogenomics; any medical application remains speculative and ethically contested.,人类狩猎+气候变化. (狩猎→hunting; 人类→human activity; 气候→climate change),人类狩猎+气候变化,https://en.wikipedia.org/wiki/Mammuthus_primigenius,10,9,high,"Sketchfab ""Woolly Mammoth""",冻尸DNA丰富、耳结构/吼声/心率完美适合音乐层
Mammuthus columbi,Columbian Mammoth,哥伦比亚猛犸象,Pleistocene Megafauna,-10000,"~10,000年前",北美,[Pleistocene Megafauna] Columbian Mammoth (Mammuthus columbi). Historic range: 北美. 骨骼/迁徙路径数据,,false,No historic pharmaceutical use. De-extinction and aDNA research may yield insights into cold-adaptation proteins and comparative immunogenomics; any medical application remains speculative and ethically contested.,人类+气候. (人类→human activity; 气候→climate change),人类+气候,https://en.wikipedia.org/wiki/Mammuthus_columbi,9,8,high,"Sketchfab ""Columbian Mammoth""",骨骼/迁徙路径数据
Mammut americanum,American Mastodon,美洲乳齿象,Pleistocene Megafauna,-10000,"~10,000年前",北美,[Pleistocene Megafauna] American Mastodon (Mammut americanum). Historic range: 北美. 牙齿化石推断饮食/声音,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",森林丧失+狩猎. (狩猎→hunting),森林丧失+狩猎,https://en.wikipedia.org/wiki/Mammut_americanum,9,8,high,"Sketchfab ""Mastodon""",牙齿化石推断饮食/声音
Smilodon fatalis,Saber-toothed Cat,剑齿虎,Pleistocene Megafauna,-10000,"~10,000年前",美洲,[Pleistocene Megafauna] Saber-toothed Cat (Smilodon fatalis). Historic range: 美洲. 咬合力强，吼声模拟潜力极高,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",猎物减少+人类竞争. (人类→human activity),猎物减少+人类竞争,https://en.wikipedia.org/wiki/Smilodon_fatalis,9,9,high,"Sketchfab ""Smilodon""",咬合力强，吼声模拟潜力极高
Megatherium americanum,Giant Ground Sloth,巨型地懒,Pleistocene Megafauna,-10000,"~10,000年前",南美,[Pleistocene Megafauna] Giant Ground Sloth (Megatherium americanum). Historic range: 南美. 步态节奏适合低频音乐层,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",人类狩猎+气候. (狩猎→hunting; 人类→human activity; 气候→climate change),人类狩猎+气候,https://en.wikipedia.org/wiki/Megatherium_americanum,8,7,high,"Sketchfab ""Megatherium""",步态节奏适合低频音乐层
Coelodonta antiquitatis,Woolly Rhinoceros,羊毛犀,Pleistocene Megafauna,-14000,"~14,000年前",欧亚,[Pleistocene Megafauna] Woolly Rhinoceros (Coelodonta antiquitatis). Historic range: 欧亚. 毛发/皮肤化石，气味重建,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",气候变暖+人类. (人类→human activity; 气候→climate change),气候变暖+人类,https://en.wikipedia.org/wiki/Coelodonta_antiquitatis,9,8,high,"Sketchfab ""Woolly Rhino""",毛发/皮肤化石，气味重建
Aenocyon dirus,Dire Wolf,恐狼,Pleistocene Megafauna,-10000,"~10,000年前",北美,[Pleistocene Megafauna] Dire Wolf (Aenocyon dirus). Historic range: 北美. 群体狩猎声音层叠潜力高,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",猎物减少+竞争,猎物减少+竞争,https://en.wikipedia.org/wiki/Aenocyon_dirus,8,9,high,"Sketchfab ""Dire Wolf""",群体狩猎声音层叠潜力高
Megaloceros giganteus,Irish Elk,爱尔兰麋鹿,Pleistocene Megafauna,-7700,"~7,700年前",欧亚,[Pleistocene Megafauna] Irish Elk (Megaloceros giganteus). Historic range: 欧亚. 巨大鹿角，视觉/声音重建,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",气候+营养压力. (气候→climate change),气候+营养压力,https://en.wikipedia.org/wiki/Megaloceros_giganteus,8,7,high,Natural History Museum Dublin,巨大鹿角，视觉/声音重建
Ursus spelaeus,Cave Bear,洞熊,Pleistocene Megafauna,-24000,"~24,000年前",欧洲,[Pleistocene Megafauna] Cave Bear (Ursus spelaeus). Historic range: 欧洲. 洞穴化石，冬眠节奏音乐,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",人类竞争+气候. (人类→human activity; 气候→climate change),人类竞争+气候,https://en.wikipedia.org/wiki/Ursus_spelaeus,8,8,high,"Sketchfab ""Cave Bear""",洞穴化石，冬眠节奏音乐
Glyptodon spp.,Glyptodon,巨型犰狳,Pleistocene Megafauna,-10000,"~10,000年前",南美,[Pleistocene Megafauna] Glyptodon (Glyptodon spp.). Historic range: 南美. 装甲壳，触觉/视觉强,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",人类狩猎+气候. (狩猎→hunting; 人类→human activity; 气候→climate change),人类狩猎+气候,https://en.wikipedia.org/wiki/Glyptodon,7,6,high,"Sketchfab ""Glyptodon""",装甲壳，触觉/视觉强
