类别,中文/英文俗名,学名,灭绝时期/年份,主要分布,感官重建潜力评分,音乐层叠潜力评分,数据可用性,3D模型参考链接,灭绝原因分析,备注（paleo-data / 项目相关性）
Pleistocene Megafauna,猛犸象 / Woolly Mammoth,Mammuthus primigenius,"~4,000年前",欧亚、北美,10,9,High,"Sketchfab ""Woolly Mammoth""",人类狩猎+气候变化,冻尸DNA丰富、耳结构/吼声/心率完美适合音乐层
Pleistocene Megafauna,哥伦比亚猛犸象 / Columbian Mammoth,Mammuthus columbi,"~10,000年前",北美,9,8,High,"Sketchfab ""Columbian Mammoth""",人类+气候,骨骼/迁徙路径数据
Pleistocene Megafauna,美洲乳齿象 / American Mastodon,Mammut americanum,"~10,000年前",北美,9,8,High,"Sketchfab ""Mastodon""",森林丧失+狩猎,牙齿化石推断饮食/声音
Pleistocene Megafauna,剑齿虎 / Saber-toothed Cat,Smilodon fatalis,"~10,000年前",美洲,9,9,High,"Sketchfab ""Smilodon""",猎物减少+人类竞争,咬合力强，吼声模拟潜力极高
Pleistocene Megafauna,巨型地懒 / Giant Ground Sloth,Megatherium americanum,"~10,000年前",南美,8,7,High,"Sketchfab ""Megatherium""",人类狩猎+气候,步态节奏适合低频音乐层
Pleistocene Megafauna,羊毛犀 / Woolly Rhinoceros,Coelodonta antiquitatis,"~14,000年前",欧亚,9,8,High,"Sketchfab ""Woolly Rhino""",气候变暖+人类,毛发/皮肤化石，气味重建
Pleistocene Megafauna,恐狼 / Dire Wolf,Aenocyon dirus,"~10,000年前",北美,8,9,High,"Sketchfab ""Dire Wolf""",猎物减少+竞争,群体狩猎声音层叠潜力高
Pleistocene Megafauna,爱尔兰麋鹿 / Irish Elk,Megaloceros giganteus,"~7,700年前",欧亚,8,7,High,Natural History Museum Dublin,气候+营养压力,巨大鹿角，视觉/声音重建
Pleistocene Megafauna,洞熊 / Cave Bear,Ursus spelaeus,"~24,000年前",欧洲,8,8,High,"Sketchfab ""Cave Bear""",人类竞争+气候,洞穴化石，冬眠节奏音乐
Pleistocene Megafauna,巨型犰狳 / Glyptodon,Glyptodon spp.,"~10,000年前",南美,7,6,High,"Sketchfab ""Glyptodon""",人类狩猎+气候,装甲壳，触觉/视觉强
Mammals,袋狼 / Thylacine,Thylacinus cynocephalus,1936,澳大利亚/塔斯马尼亚,10,10,High,"Sketchfab ""Thylacine""",狩猎+栖息地+疾病,项目提及，最后一只录音存在
Mammals,斯特勒海牛 / Steller's Sea Cow,Hydrodamalis gigas,1768,白令海,8,7,Medium,"Sketchfab ""Steller's Sea Cow""",过度狩猎,海洋低频声音
Mammals,布兰布尔凯鼠 / Bramble Cay Melomys,Melomys rubicola,2016,澳大利亚,7,6,Medium,"Sketchfab ""Melomys""",气候+海平面,首个气候变化哺乳动物记录
Mammals,圣诞岛鼩 / Christmas Island Shrew,Crocidura trichura,1985（2025确认）,圣诞岛,6,5,Medium,"Sketchfab ""Shrew""",入侵+疾病（2025新增）,-
Mammals,宽脸袋鼠 / Broad-faced Potoroo,Potorous platyops,1875,澳大利亚,7,6,Medium,"Sketchfab ""Potoroo""",狐狸+栖息地破坏,-
Mammals,Nullarbor Barred Bandicoot,Perameles papillon,~1920s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",栖息地+捕食（2025新增）,-
Mammals,Southern Long-nosed Bandicoot,Perameles myosuros,19世纪晚期（2025确认）,澳大利亚东南,6,5,Medium,"Sketchfab ""Bandicoot""",捕食+栖息地（2025新增）,-
Mammals,Southeastern Striped Bandicoot,Perameles notina,19-20世纪（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵捕食者（2025新增）,-
Mammals,Southern Pig-footed Bandicoot,Chaeropus ecaudatus,~1950s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵+火 regime变化（2025新增）,-
Mammals,Northern Pig-footed Bandicoot,Chaeropus yirratji,~1930s（2025确认）,澳大利亚,6,5,Medium,"Sketchfab ""Bandicoot""",入侵+栖息地（2025新增）,-
Mammals,Japanese Sea Lion,Zalophus japonicus,1950s,日本海,7,7,Medium,"Sketchfab ""Sea Lion""",狩猎+渔业冲突,-
Mammals,Western Black Rhinoceros,Diceros bicornis longipes,2011,西非,8,6,High,"Sketchfab ""Black Rhino""",偷猎,角贸易导致
